ID
389,2023-09-20T23:47:09.059156,2023-09-20T23:47:09.945014,RAINBOW CITY,NANCY,NONE,PURPLE GRILL,GREEN T-SHIRT,GOLD COAT,BLUE RAINBOW SHADES,GREEN LOOPHEAD,0.885858,1695421068.808806
393,2023-09-20T23:47:09.956232,2023-09-20T23:47:10.909315,PINK MOUNTAINS,NANCY,EARTH,SAD,PURPLE STRIPE T-SHIRT,RAINBOW COAT,NONE,PURPLE LOOPHEAD,0.953083,1695421068.808806
397,2023-09-20T23:47:10.930327,2023-09-20T23:47:11.886787,RAINBOW CITY,NANCY,HEART,SAD,PINK T-SHIRT,GREEN SWEATER,GOLD SHADES,GREEN HAIR,0.95646,1695421068.808806
401,2023-09-20T23:47:11.898795,2023-09-20T23:47:12.832695,BLUE CITY,NANCY,EARTH,DRUNK,PINK PATTERN T-SHIRT,PINK JACKET,NONE,PINK HAIR,0.9339,1695421068.808806
407,2023-09-20T23:47:12.888172,2023-09-20T23:47:13.748631,GREEN APARTMENT,NANCY,EARTH,SAD,GREEN PATTERN T-SHIRT,RAINBOW SWEATER,NONE,PINK HAIR,0.860459,1695421068.808806
411,2023-09-20T23:47:13.774670,2023-09-20T23:47:14.614326,PINK APARTMENT,NANCY,NONE,DRUNK,PINK PATTERN T-SHIRT,GOLD SWAG JACKET,PINK LASER EYES,PURPLE HAIR,0.839656,1695421068.808806
414,2023-09-20T23:47:14.626856,2023-09-20T23:47:15.452415,GREEN MOON,NANCY,HEART,DRUNK,GREEN T-SHIRT,RAINBOW COAT,NONE,PURPLE HAIR,0.825559,1695421068.808806
418,2023-09-20T23:47:15.465398,2023-09-20T23:47:16.346223,GOLD MOON,GOLD NANCY,MUSIC,GOLD GRILL,GOLD PATTERN T-SHIRT,GOLD SWAG JACKET,NONE,ONLY RAINBOW HAIR,0.880825,1695421068.808806
422,2023-09-20T23:47:16.358934,2023-09-20T23:47:17.181858,PINK CITY,NANCY,NONE,PURPLE GRILL,NONE,BLUE COAT,NONE,BLUE HAIR,0.822924,1695421068.808806
426,2023-09-20T23:47:17.203101,2023-09-20T23:47:18.093194,PURPLE APARTMENT,NANCY,HEART,RAINBOW PUKE,PURPLE T-SHIRT,PURPLE JACKET,PURPLE LASER EYES,PINK HAIR,0.890093,1695421068.808806
430,2023-09-20T23:47:18.118566,2023-09-20T23:47:18.952050,PINK APARTMENT,NANCY,HEART,GREEN GRILL,GREEN T-SHIRT,PINK SWAG JACKET,BLUE RAINBOW SHADES,RAINBOW LOOPHEAD,0.833484,1695421068.808806
434,2023-09-20T23:47:18.964055,2023-09-20T23:47:19.779983,PINK CITY,NANCY,HEART,ANGRY,GOLD PATTERN T-SHIRT,GOLD COAT,BLUE RAINBOW SHADES,RAINBOW HAIR,0.815928,1695421068.808806
438,2023-09-20T23:47:19.791986,2023-09-20T23:47:20.652937,RAINBOW CITY,NANCY,MUSIC,PINK GRILL,BLUE PATTERN T-SHIRT,GOLD SWEATER,BLUE SHADES,PURPLE HAIR,0.860951,1695421068.808806
442,2023-09-20T23:47:20.666939,2023-09-20T23:47:21.474270,GREEN APARTMENT,NANCY,NONE,TONGUE OUT,GREEN T-SHIRT,GOLD COAT,NONE,RAINBOW HAIR,0.807331,1695421068.808806
446,2023-09-20T23:47:21.488514,2023-09-20T23:47:22.350496,RAINBOW CITY,NANCY,MUSIC,BLUE GRILL,GREEN PATTERN T-SHIRT,PURPLE SWAG JACKET,PINK RAINBOW SHADES,BLUE HAIR,0.861982,1695421068.808806
450,2023-09-20T23:47:22.361683,2023-09-20T23:47:23.252126,PURPLE CITY,NANCY,MUSIC,DRUNK,BLUE PATTERN T-SHIRT,GREEN SWEATER,PURPLE LASER EYES,GREEN LOOPHEAD,0.890443,1695421068.808806
